DateTime (UTC),"From","Message","Item","Description","Quantity","PricePerUnit","Received","Given","Currency","ShopOrderType","TransactionType","TransactionId","Reference","SalesTax","SalesTaxPercentage","SalesTaxIncludesShipping","BuyerCountry","BuyerStateOrProvince","BuyerEmail","PaymentProvider"
"05/26/2024 23:19","lmbjjj","Have a coffee for the awesome work.","Ko-fi Support","","","","5.00","0","USD","","Tip","019d70c9-4c6b-4063-875e-3fd90217d1e5","T-M4M2YKW1U","","","","","","","PayPal"
"06/01/2024 13:09","n1by2","Love what you're doiung <3","Ko-fi Support","","","","3.00","0","USD","","Tip","0a7fd43a-a682-4d6c-a0f0-9cfa442a6242","T-J3J6YSK2Z","","","","","","","PayPal"
"06/04/2024 23:54","Anteater9","Nice Work!","Ko-fi Support","","","","5.00","0","USD","","Tip","820fff62-7228-45d2-a03c-156237086d3a","T-J3J1YY1FI","","","","","","","PayPal"
"07/08/2024 15:26","Diegolin","Menuda sacada traduciendo el mod de yuriana","Ko-fi Support","","","","5.00","0","USD","","Tip","c53c6e42-4fd8-46e5-9dc1-950695a23f81","T-X8X4109LUG","","","","","","","PayPal"
"08/25/2024 12:48","EpicFaylure01","","Ko-fi Support","","","","50.00","0","USD","","Tip","5ed24ca7-6b7c-43fe-830d-ef2a22b19f44","T-E1E412CL2N","","","","","","","PayPal"
"01/16/2025 15:52","John95","","Product: 1 x Solo leveling characters MMD / VRM / FBX | ","","1.00","0.00","0","0.00","EUR","Digital","Shop Order","6f7e7790-6a36-409b-8c2e-42753437c6db","S-X8X0193PL6","","","","","","","Unknown"
"01/31/2025 16:47","Kybalion","","Ko-fi Support","","","","5.00","0","USD","","Tip","f79d2753-621c-45f4-9880-7a9f6e6f8ffd","T-Z8Z119UUDV","","","","","","","PayPal"
"09/01/2025 16:07","Ibuki_G","Muchas gracias por tus contribuciones al modding de Skyrim en espa̱ol, aqui te dejo mi incentivo para que continues con tu gran trabajo. ","Ko-fi Support","","","","15.00","0","USD","","Tip","36154a68-32e2-4941-9781-d3108d11dbb0","T-B0B31KL197","","","","","","","PayPal"
"10/20/2025 10:37","Ko-fi Supporter","","Ko-fi Support","","","","1.00","0","USD","","Tip","c2deb233-19e7-46ed-90c4-db439fa215a4","T-Y8Y51N3VBL","","","","","","","PayPal"
